sID	Query	Preventer	DataSet	rating	justification	Cluster	Attention_Confirmation	Age	Sex	Technical_issues	Duration
10	test query: preventive strength	Necessary preventer	90_30_120_0	20	By end of experiment, left side looks like roughly 20% survived.	DeltaP	1	31	1	none	475
106	test query: preventive strength	Necessary preventer	90_30_120_0	30	100 % died without vaccine, approx 30 mice survived with vaccine	DeltaP	1	28	2	-99	442
107	test query: preventive strength	Necessary preventer	90_30_120_0	25	Only about one quarter of the mice survived when given the vaccine.	DeltaP	1	42	1	-99	938
12	test query: preventive strength	Necessary preventer	90_30_120_0	30	I counted the mice  that lived in the vaccinated sample.	DeltaP	1	62	1	-99	1099
18	test query: preventive strength	Necessary preventer	90_30_120_0	20	vaccine doesn't appear to be effective	DeltaP	1	28	2	-99	598
26	test query: preventive strength	Necessary preventer	90_30_120_0	25	Based on the animation, you can clearly see that vaccinated mice survive much more than unvaccinated one. I would say around 25% based on the animation results, so thats why I would say around 25 mice would survive	DeltaP	1	19	1	-99	857
28	test query: preventive strength	Necessary preventer	90_30_120_0	30	Based on the results shown for vaccinated mice, It seems to be much less than a half of the mice who survived.	DeltaP	1	32	2	-99	1534
30	test query: preventive strength	Necessary preventer	90_30_120_0	10	Left board is starting to match the right in terms of numbers of grey circles.	DeltaP	1	39	1	-99	759
40	test query: preventive strength	Necessary preventer	90_30_120_0	30	30% of the vaccinated mice survived, versus 0% of unvaccinated mice. This means the effectiveness is 30% of 100%, or 30%	DeltaP	1	41	1	-99	590
41	test query: preventive strength	Necessary preventer	90_30_120_0	30	according to the animation showed the survival of the mice is not high even though there is a vaccine  it doesnt save more than it kills	DeltaP	1	30	2	none	1366
43	test query: preventive strength	Necessary preventer	90_30_120_0	30	Only 30 mice survived in the initial vaccinated group.	DeltaP	1	44	1	-99	999
47	test query: preventive strength	Necessary preventer	90_30_120_0	30	The vaccinated group death rate changes, isn't fluid. Makes me think the vaccine slows it down but doesn't stop the virus, and body immunity helps get over the hump. This is all speculation. I actually would assume less mice would survive if the trial was redone, but for the sake of what I see on the screen, 30% survival rate.	DeltaP	1	27	2	None	1294
53	test query: preventive strength	Necessary preventer	90_30_120_0	33	It seems like 1/3 of the vaccinated mice survived.	DeltaP	1	19	2	-99	620
58	test query: preventive strength	Necessary preventer	90_30_120_0	30	i counted the green mice on the left who were alive and they amounted to 30 so then took that number away from 100 mice	DeltaP	1	44	2	NA	1011
61	test query: preventive strength	Necessary preventer	90_30_120_0	26	A lot of mice died even with the vaccine	DeltaP	1	20	2	No	421
63	test query: preventive strength	Necessary preventer	90_30_120_0	30	It only looks like 30% of mice would survive	DeltaP	1	47	2	-99	717
65	test query: preventive strength	Necessary preventer	90_30_120_0	30	The test showed a death rate of 70% among the vaccinated mice.	DeltaP	1	57	2	There were no issues.	1113
70	test query: preventive strength	Necessary preventer	90_30_120_0	25	the results of the experiment show that all of the mice than were not vaccinated died after being exposed to the strain of bacteria, on the other hand the mice that were vaccinated only about 25 percent remained alive after being exposed to the strain of bacteria. Therefore I would expect only 25 percent of the vaccinated mice from the sample of 100 to still be living after being exposed to the bacteria despite being vaccinated.	DeltaP	1	26	2	no technical issues occured.	1610
77	test query: preventive strength	Necessary preventer	90_30_120_0	25	All of the unvaccinated mice died. About 25% of the vaccinated ones survived	DeltaP	1	18	2	-99	339
79	test query: preventive strength	Necessary preventer	90_30_120_0	22	Because the experiment showed that 22 mice survived that were vaccinated, and none survived that were not.	DeltaP	1	51	1	-99	733
85	test query: preventive strength	Necessary preventer	90_30_120_0	10	probably only the fittest survived	DeltaP	1	19	1	-99	816
9	test query: preventive strength	Necessary preventer	90_30_120_0	80	Around 80 survived with the vaccination	DeltaP	1	48	2	-99	283
